TotalProducts,Id,Depth,ParentId,Name,SubTreeCount
4566,21,2,112140,"Semiconductors - accessories",7
28,100142,3,21,"Standard DIP sockets",0
20,100144,3,21,"PLCC sockets",0
49,100143,3,21,"Precision sockets",0
15,100145,3,21,"Test sockets",0
4048,100095,3,21,Heatsinks,0
364,100096,3,21,"Heatsinks - equipment",0
42,112888,3,21,"Peltier modules",0
240,112889,2,112140,"Programmers and erasers",3
145,112890,3,112889,Programmers,0
4,112891,3,112889,"UV erasers",0
91,113757,3,112889,"Programmer accessories",0
4092,100636,2,112140,"Development kits",10
493,112892,3,100636,"Microchip development kits",0
42,112894,3,100636,"NXP development kits",0
323,113434,3,100636,"STM development kits",0
36,113435,3,100636,"TI development kits",0
146,113240,3,100636,"Development Boards for Arduino",2
95,118087,4,113240,"Arduino Solutions",0
51,118088,4,113240,"Solutions Compatible with Arduino",0
387,113718,3,100636,"Development kits for data transmission",0
546,112895,3,100636,"Development kits - others",0
1625,113614,3,100636,"Add-on boards",0
478,113610,3,100636,"Development kits - accessories",0
16,113191,3,100636,Compilers,0
2140,113192,2,112140,"Communication modules",13
79,113719,3,113192,"USB modules",0
42,113720,3,113192,"Ethernet modules",0
324,113721,3,113192,"RFID modules and readers",0
376,113194,3,113192,"RF modules",0
208,113195,3,113192,"M2M (GPRS/HSPA/LTE) modules",0
295,113196,3,113192,"IoT (WiFi/Bluetooth) modules",0
140,113723,3,113192,"GNSS (GPS) modules",0
3,113198,3,113192,"Communication modules - others",0
54,113594,3,113192,"Accessories for Communication Modules",0
134,113384,3,113383,"WiFi/Bluetooth antennas",0
101,113385,3,113383,"GPS antennas",0
230,113386,3,113383,"GSM antennas",0
154,113387,3,113383,"RF antennas",0
39,113784,2,112140,Obsolete,0
3539,113611,1,111000,"Embedded and IoT systems",7
2140,113192,2,112140,"Communication modules",13
79,113719,3,113192,"USB modules",0
42,113720,3,113192,"Ethernet modules",0
324,113721,3,113192,"RFID modules and readers",0
376,113194,3,113192,"RF modules",0
208,113195,3,113192,"M2M (GPRS/HSPA/LTE) modules",0
295,113196,3,113192,"IoT (WiFi/Bluetooth) modules",0
140,113723,3,113192,"GNSS (GPS) modules",0
3,113198,3,113192,"Communication modules - others",0
54,113594,3,113192,"Accessories for Communication Modules",0
134,113384,3,113383,"WiFi/Bluetooth antennas",0
101,113385,3,113383,"GPS antennas",0
230,113386,3,113383,"GSM antennas",0
154,113387,3,113383,"RF antennas",0
292,113612,2,113611,"Single board computers",0
68,113613,2,113611,"Accessories for Embedded systems",0
178,113542,2,100431,"Enclosure for Embedded Systems",0
76,118182,2,113643,"Memory Modules",0
146,113240,3,100636,"Development Boards for Arduino",2
95,118087,4,113240,"Arduino Solutions",0
51,118088,4,113240,"Solutions Compatible with Arduino",0
639,113439,3,112917,"Intelligent displays modules",0
24792,100327,1,111000,Optoelectronics,7
12113,100684,2,100327,LEDs,9
4407,100134,3,100684,"THT LEDs",8
143,100324,3,100693,Holders,0
389,113346,3,100693,"Spacers for LED",0
3174,112896,4,100134,"THT LEDs Round",0
146,112902,4,100134,"THT LEDs oval",0
291,112903,4,100134,"THT LEDs rectangle",0
111,112904,4,100134,"THT LEDs Super Flux",0
43,112905,4,100134,Backlights,0
110,112906,4,100134,"THT LEDs - others",0
3249,100404,3,100684,"SMD LEDs",3
421,100692,3,100693,"Lightpipes for LED",0
499,113362,4,100404,"SMD white LEDs",0
2329,113363,4,100404,"SMD colour LEDs",0
1042,100470,3,100684,"Power LEDs",3
369,100691,3,100693,Lens,0
487,113364,4,100470,"White power LEDs",2
365,113365,5,113364,"White power LEDs - COB",0
122,113366,5,113364,"White power LEDs - Emiter",0
186,113367,4,100470,"Colour power LEDs",1
186,113369,5,113367,"Colour power LEDs - Emiter",0
289,113470,3,100684,"Special effect LED's",0
431,100425,3,100684,"IR LEDs",0
232,113370,3,100684,"UV LEDs",0
38,113461,3,100684,"Plants growth LED",0
105,118173,3,100684,"LED Kits",0
2320,113579,3,100684,"LED light sources",4
1227,113347,2,100336,"Profiles for LED",0
821,113576,4,113579,"Light sources - LED ribbon",0
97,113577,4,113579,"Light sources - LED bars",0
175,113578,4,113579,"Light sources - LED modules",0
2128,113582,2,100327,"LED indicators",2
501,113583,3,113582,"LED PCB indicators",0
1627,100325,3,93,"LED Panel Mount Indicators",0
4673,112917,2,100327,Displays,9
1332,100135,3,112917,"LED displays",3
1076,112918,4,100135,"7-segment LED displays",0
173,112922,4,100135,"LED displays - matrix",0
83,112923,4,100135,"LED displays - others",0
376,112924,3,112917,"OLED displays",2
94,112925,4,112924,"Alphanumeric OLED displays",0
282,112280,4,112924,"Graphical OLED displays",0
890,100136,3,112917,"LCD displays",3
81,112281,4,100136,"LCD digital displays",0
470,112282,4,100136,"LCD alphanumeric displays",0
339,112283,4,100136,"LCD graphic displays",0
1027,112284,3,112917,"TFT displays",0
29,113463,3,112917,"VFD displays",0
639,113439,3,112917,"Intelligent displays modules",0
41,113459,3,112917,E-paper,0
225,113460,3,112917,"Displays - accessories",0
114,113667,3,100228,"HMI Panels",0
2153,112291,2,100327,Optocouplers,4
1344,100138,3,112291,"Optocouplers - analog output",0
424,112294,3,112291,"Optocouplers - digital output",0
96,112297,3,112291,"Optocouplers - others",0
289,113580,3,112291,Optotriacs,0
165,100422,2,100327,"Laser elements",2
86,112302,3,100422,"Laser diodes",0
79,112303,3,100422,"Laser modules",0
580,100140,2,100327,Photoelements,4
143,112304,3,100140,Photodiodes,0
193,112305,3,100140,"IR receiver modules",0
190,112306,3,100140,Phototransistors,0
54,100141,3,100140,Photoresistors,0
5529,100693,2,100327,"LEDs accessories",9
1227,113347,2,100336,"Profiles for LED",0
143,100324,3,100693,Holders,0
421,100692,3,100693,"Lightpipes for LED",0
369,100691,3,100693,Lens,0
164,113176,3,100693,"Heatsinks for LED",0
389,113346,3,100693,"Spacers for LED",0
89,112308,3,100693,"Others LEDs Accessories",0
65,113414,3,113415,"Cooling Modules",0
2662,113653,3,112530,"LED Power Supplies",0
2874,113567,1,111000,"Light sources",9
988,113568,2,113567,"Miniature light sources",0
355,113569,2,113567,"Light sources - lighting",0
204,113654,2,113567,"Light sources - car lighting",0
34,113570,2,113567,"Light sources - EL elements",0
80,113574,2,113567,"Light sources - holders",0
120,113575,2,113567,Torches,0
821,113576,4,113579,"Light sources - LED ribbon",0
97,113577,4,113579,"Light sources - LED bars",0
175,113578,4,113579,"Light sources - LED modules",0
119338,112309,1,111000,Passives,17
39337,100299,2,112309,Resistors,7
29805,100300,3,100299,"SMD resistors",0
5604,112312,3,100299,"THT Resistors",0
2903,100511,3,100299,"Power resistors",0
168,100298,3,100299,"Other Resistors",0
56,113148,3,100299,"Heating resistors",0
641,112321,3,100299,"Resistor networks",0
160,113512,3,113509,"Audio resistors",0
955,112323,2,112309,"NTC thermistors",2
643,100402,3,112323,"Measurement NTC thermistors",2
254,113183,4,100402,"THT measurement NTC thermistors",0
389,113184,4,100402,"SMD measurement NTC thermistors",0
312,112324,3,112323,"Protection NTC thermistors",0
2525,24,2,112309,Potentiometers,4
1398,112325,3,24,Trimmers,3
292,112326,4,112325,"SMD trimmers",2
209,100561,5,112326,"Single turn SMD trimmers",0
83,112327,5,112326,"Multiturn SMD trimmers",0
1103,100015,4,112325,"THT trimmers",6
751,100595,5,100015,"Single turn THT trimmers",0
90,100017,5,100015,"19mm multiturn THT trimmers",0
62,100129,5,100015,"1/4 inch multiturn THT trimmers",0
6,113254,5,100015,"5/16 inch multiturn THT trimmers",0
193,100016,5,100015,"3/8 inch multiturn THT trimmers",0
1,113241,5,100015,"1/2 inch multiturn THT trimmers",0
3,113242,4,112325,"Trimmer adjustment tools",0
1082,112328,3,24,"Shaft potentiometers",2
970,112329,4,112328,"Single turn shaft  potentiometers",4
462,100562,5,112329,"Carbon single turn potentiometers",0
202,112330,5,112329,"Cermet single turn potentiometers",0
168,100535,5,112329,"Wire single turn potentiometers",0
138,100018,5,112329,"Cond. plastic single turn potentiometers",0
112,112331,4,112328,"Multiturn shaft  potentiometers",2
12,112332,5,112331,"Cermet multiturn potentiometers",0
100,100024,5,112331,"Wire multiturn potentiometers",0
20,112333,3,24,"Slide potentiometers",0
25,113595,3,113509,"Audio potentiometers",0
119,113519,2,112309,Encoders,2
4,113520,3,113519,"Absolute type encoders",0
115,113521,3,113519,"Incremental type encoders",0
707,112334,2,112309,Knobs,5
605,100026,3,112334,"Knobs for shaft potentiometers",0
31,112335,3,112334,"Precision knobs for shaft potentiometers",0
33,112336,3,112334,"Knobs for trimmers",0
23,113133,3,112334,"Knobs for slide potentiometers",0
15,112337,3,112334,Scales,0
53823,26,2,112309,Capacitors,14
25772,100560,3,26,"MLCC capacitors",3
25095,113537,4,100560,"MLCC SMD capacitors",0
633,100568,4,100560,"MLCC THT capacitors",0
44,100558,4,100560,"MLCC array capacitors",0
917,100003,3,26,"Ceramic capacitors",1
917,112339,4,100003,"THT ceramic capacitors",0
13315,100556,3,26,"Electrolytic capacitors",5
4080,112341,4,100556,"SMD electrolytic capacitors",0
6793,112342,4,100556,"THT electrolytic capacitors",0
1500,113265,4,100556,"SNAP-IN electrolytic capacitors",0
402,114042,4,100556,"Screw terminal and others el. capacitors",0
540,113764,4,113225,"SMD Hybrid Capacitors",0
6406,112350,3,26,"Film Capacitors",2
6320,100265,4,112350,"THT Film Capacitors",0
86,112351,4,112350,"SMD Film Capacitors",0
202,113466,3,26,"Paper capacitors",0
380,100263,3,26,"Motor capacitors",0
26,112353,3,26,"Lighting capacitors",0
3371,113244,3,26,"Tantalum capacitors",3
2066,113245,4,113244,"SMD tantalum capacitors",0
263,113246,4,113244,"THT tantalum capacitors",0
1042,113247,4,113244,"Polymer - tantalum capacitors",0
11,100634,3,26,"SMD niobium capacitors",0
382,100266,3,26,"SMD capacitors - others",0
12,100339,3,26,Trimmers,0
452,113190,3,26,Supercapacitors,0
3537,113225,3,26,"Polymer and Hybrid Capacitors",5
1042,113247,4,113244,"Polymer - tantalum capacitors",0
1141,113762,4,113225,"SMD Polymer Capacitors",0
355,113763,4,113225,"THT Polymer Capacitors",0
540,113764,4,113225,"SMD Hybrid Capacitors",0
459,118085,4,113225,"THT Hybrid Capacitors",0
622,113511,3,113509,"Audio capacitors",2
351,113514,4,113511,"Audio polypropylene capacitors",0
271,113515,4,113511,"Audio electrolytic capacitors",1
271,113516,5,113515,"THT audio electrolytic capacitors",0
5,113189,2,112309,"HV generators",0
2630,27,2,112309,"Quartz crystals and filters",4
2155,100269,3,27,"Quartz crystals",2
1956,112354,4,100269,"SMD quartz crystals",0
199,112355,4,100269,"THT quartz crystals",0
304,100272,3,27,"Quartz generators",2
294,112356,4,100272,"SMD quartz generators",0
10,112357,4,100272,"THT quartz generators",0
169,100270,3,27,"Ceramic filters and resonators",2
159,113181,4,100270,"SMD ceramic filters and resonators",0
10,113182,4,100270,"THT ceramic filters and resonators",0
2,100271,3,27,"SAW filters and resonators",0
10182,100406,2,112309,Inductors,5
132,112358,3,100406,"SMD coils",0
3643,112359,3,100406,"SMD inductors",9
1485,113523,4,112359,"SMD 0402 inductors",0
454,113524,4,112359,"SMD 0603 inductors",0
339,113525,4,112359,"SMD 0805 inductors",0
223,113526,4,112359,"SMD 1008 inductors",0
48,113527,4,112359,"SMD 1206 inductors",0
384,113528,4,112359,"SMD 1210 inductors",0
148,113529,4,112359,"SMD 1812 inductors",0
11,113530,4,112359,"SMD 2220 inductors",0
551,113536,4,112359,"SMD inductors - others",0
3040,112360,3,100406,"SMD power inductors",0
3330,112361,3,100406,"THT inductors",3
1714,100345,4,112361,"Toroidal inductors",0
430,100343,4,112361,"Axial inductors",0
1186,100344,4,112361,"Vertical inductors",0
37,113510,3,113509,"Audio coils",0
3149,113557,2,112309,"EMI/EMC components",2
2866,113550,3,113557,"EMI/EMC ferrites",6
205,113552,4,113550,"Ferrites for cables",0
17,113553,4,113550,"Ferrite - inductors",0
2013,113554,4,113550,"Ferrite - beads",0
471,113555,4,113550,"Ring ferrites",0
141,113556,4,113550,"Ferrite sleeves",0
19,118086,4,113550,"Ferrite plates",0
283,113558,3,113557,"EMI/EMC sheets",0
2134,100342,2,112309,"Suppression filters",4
339,112930,3,100342,"SMD suppression filters",0
216,112931,3,100342,"THT suppression filters",0
1514,112932,3,100342,"Suppression filters - others",0
65,113132,3,100342,"Three-phase filters",0
619,113383,2,112309,Antennas,4
134,113384,3,113383,"WiFi/Bluetooth antennas",0
101,113385,3,113383,"GPS antennas",0
230,113386,3,113383,"GSM antennas",0
154,113387,3,113383,"RF antennas",0
2395,29,2,112309,Varistors,3
646,112933,3,29,"SMD varistors",0
1705,100397,3,29,"THT varistors",0
44,112934,3,29,"Block varistors",0
180,100400,2,112309,"Surge arrestors",2
82,112935,3,100400,"SMD surge arrestors",0
98,112936,3,100400,"THT surge arrestors",0
262,113142,2,112309,"Power factor correction",4
229,113143,3,113142,Capacitors,0
2,113999,3,113142,"Blocking reactors",0
11,113145,3,113142,"Reactive power controllers",0
20,113236,3,113142,"Capacitor switching contactors",0
1159,113509,2,112309,"Audio components",6
305,100207,2,63,Speakers,0
37,113510,3,113509,"Audio coils",0
622,113511,3,113509,"Audio capacitors",2
351,113514,4,113511,"Audio polypropylene capacitors",0
271,113515,4,113511,"Audio electrolytic capacitors",1
271,113516,5,113515,"THT audio electrolytic capacitors",0
25,113595,3,113509,"Audio potentiometers",0
160,113512,3,113509,"Audio resistors",0
10,113513,3,113509,"Audio crossovers",0
1,113752,2,112309,"Passives - other",0
76005,46,1,111000,Connectors,17
12939,30,2,46,"Signal connectors",13
1461,112937,3,30,"Pin headers",0
145,100350,3,30,"CE100 connectors 2,54mm",0
129,100351,3,30,"CE156 connectors 3,96mm",0
436,100036,3,30,"DIN 41.612, DIN 41.617 connectors",0
92,100352,3,30,"Dubox connectors 2,54mm",0
1250,100639,3,30,"FFC/FPC connectors",7
50,112938,4,100639,"Connectors FFC/FPC 2.54mm",0
38,112939,4,100639,"Connectors FFC/FPC 1.25mm",0
406,112940,4,100639,"Connectors FFC/FPC 1.00mm",0
463,112941,4,100639,"Connectors FFC/FPC 0.5mm",0
63,114044,4,100639,"Connectors FFC/FPC 0.3mm",0
13,118178,4,100639,"Connectors FFC/FPC 0.2mm",0
217,113269,4,100639,"FFC/FPC ribbon cables",0
2237,112943,3,30,"IDC connectors",0
351,100033,3,30,"Micro-Match connectors 1,27mm",0
10,100642,3,30,"Mini-Clamp connectors 2mm",0
66,100530,3,30,"MTA-100 connectors 2,54mm",0
80,100638,3,30,"IDC picoflex connectors 1,27mm",0
2186,100569,3,30,"Board-to-board connectors",0
4496,112945,3,30,"Raster signal connectors",23
146,112946,4,112945,"Raster signal connectors 1,00mm",0
26,113398,4,112945,"Raster signal connectors 1,20mm",0
669,112947,4,112945,"Raster signal connectors 1,25mm",0
215,112948,4,112945,"Raster signal connectors 1,50mm",0
742,112949,4,112945,"Raster signal connectors 2,00mm",0
499,100490,4,112945,"Raster signal connectors 2,50mm",0
561,100491,4,112945,"Raster signal connectors 2,54mm",0
309,112950,4,112945,"Raster signal connectors 3,00mm",0
23,113399,4,112945,"Raster signal connectors 3,68mm",0
22,113400,4,112945,"Raster signal connectors 3,81mm",0
241,100349,4,112945,"Raster signal connectors 3,96mm",0
91,113401,4,112945,"Raster signal connectors 4,14mm",0
454,112951,4,112945,"Raster signal connectors 4,20mm",0
21,113218,4,112945,"Raster signal connectors 4,50mm",0
9,113402,4,112945,"Raster signal connectors 5/7,5mm",0
19,113344,4,112945,"Raster signal connectors 5,00mm",0
21,113403,4,112945,"Raster signal connectors 5,03mm",0
77,112952,4,112945,"Raster signal connectors 5,08mm",0
90,113263,4,112945,"Raster signal connectors 5,70mm",0
9,113404,4,112945,"Raster signal connectors 6,10mm",0
197,113405,4,112945,"Raster signal connectors 6,35mm",0
16,113389,4,112945,"Raster signal connectors 7,50mm",0
39,113406,4,112945,"Raster signal connectors 10mm",0
5634,31,2,46,"Data connectors",7
3421,100038,3,31,"D-Sub connectors",5
975,113791,4,100038,"D-Sub plugs and sockets",0
1507,113792,4,100038,"Complete D-Sub plugs",0
688,113793,4,100038,"D-Sub housings",0
115,113794,4,100038,"D-Sub adaptors",0
136,113795,4,100038,"D-Sub accessories",0
87,113410,3,31,"MDR connectors",0
686,100379,3,31,"USB & IEEE1394 connectors",0
1101,112953,3,31,"RJ connectors",0
170,100432,3,31,"Card connectors",0
9,100037,3,31,"Centronics connectors",0
160,113564,3,31,"Optical connectors",0
2476,112955,2,46,"RF connectors",13
24,113609,3,112955,"4.3-10 connectors",0
664,100357,3,112955,"BNC connectors",0
66,100362,3,112955,"UHF & Mini-UHF connectors",0
221,100358,3,112955,"TNC connectors",0
6,113538,3,112955,"C connectors",0
270,100359,3,112955,"N connectors",0
16,100360,3,112955,"FME connectors",0
642,100361,3,112955,"SMA, SMB, SMC connectors",0
181,100449,3,112955,"MCX, MMCX connectors",0
11,113539,3,112955,"Micro connectors",0
88,100363,3,112955,"F connectors",0
231,112956,3,112955,"Coaxial connectors",0
56,100365,3,112955,"RF adapters",0
19500,33,2,46,"Industrial connectors",4
13068,100366,3,33,"Industrial circular connectors",25
104,112961,4,100366,"C16-1 EcoMate connectors",0
67,113462,4,100366,"HARTING connectors",0
191,113227,4,100366,"RT360 connectors",0
20,112963,4,100366,"CM connectors",0
151,112964,4,100366,"CPC connectors",0
15,112965,4,100366,"CA connectors",0
124,113388,4,100366,"7/8"" connectors",0
30,113626,4,100366,"M5 connectors",0
518,112966,4,100366,"M8 connectors",0
264,113785,4,100366,"M9 connectors",0
2108,112967,4,100366,"M12 connectors",4
944,113505,5,112967,"M12 plugs and sockets",0
1056,113506,5,112967,"M12 connectors with cable",0
82,113507,5,112967,"M12 adapters",0
26,113508,5,112967,"M12 connector accessories",0
952,113411,4,100366,"M16 connectors",0
9,118175,4,100366,"M18 Connectors",0
562,113277,4,100366,"M23 connectors",0
16,118176,4,100366,"M25 Connectors",0
30,113615,4,100366,"M27 connectors",0
96,112968,4,100366,"PT-451 connectors",0
869,112969,4,100366,"PX connectors",0
33,112971,4,100366,"UTG connectors",0
186,113412,4,100366,"LEMO connectors",0
5584,112972,4,100366,"WEIPU connectors",0
133,113407,4,100366,"SWITCHCRAFT connectors",0
50,113627,4,100366,"X-Lok connectors",0
277,118165,4,100366,"Hirose connectors",0
679,118177,4,100366,"Binder Connectors",0
5438,112977,3,33,"Rectangular multipole connectors",4
16,112982,4,112977,"G connectors",0
30,112984,4,112977,"ST connectors",0
28,113408,4,112977,"EDAC connectors",0
5364,113616,4,112977,"HDC connectors",11
339,113617,5,113616,"DEGSON Connectors",0
540,113618,5,113616,"Amphenol connectors",0
2215,113619,5,113616,"HARTING connectors",0
231,113620,5,113616,"GWconnect connectors",0
406,113621,5,113616,"ILME connectors",0
1160,113622,5,113616,"LAPP connectors",0
106,113780,5,113616,"Phoenix Contact Connectors",0
201,113623,5,113616,"TE Connectivity connectors",0
82,113624,5,113616,"Weidmuller connectors",0
82,113739,5,113616,"Wieland connectors",0
2,114070,5,113616,"HDC connectors - others",0
267,112985,3,33,"Valve connectors",0
727,112988,3,33,"Industrial connectors - others",0
5112,118167,2,46,"Military connectors",4
